mechanism,n_agents,seed,auction_idx,agent_idx,truthful_valuation,truthful_utility,best_misreport_bid,best_misreport_utility,regret
weighted_aggregation,3,0,55,2,0.115899,0.026301,0.231797,0.028654,0.002353
second_price,3,0,56,0,0.633192,0.447658,0.316596,0.447658,0.000000
second_price,3,0,56,1,0.185534,0.000000,0.046384,0.000000,0.000000
second_price,3,0,56,2,0.077680,0.000000,0.019420,0.000000,0.000000
weighted_aggregation,3,0,56,0,0.633192,0.284995,1.266384,0.383634,0.098640
weighted_aggregation,3,0,56,1,0.185534,0.049064,0.371068,0.055781,0.006718
weighted_aggregation,3,0,56,2,0.077680,0.016721,0.155360,0.017701,0.000980
second_price,3,0,57,0,0.641947,0.373653,0.320973,0.373653,0.000000
second_price,3,0,57,1,0.268294,0.000000,0.067073,0.000000,0.000000
second_price,3,0,57,2,0.110627,0.000000,0.027657,0.000000,0.000000
weighted_aggregation,3,0,57,0,0.641947,0.279663,1.283894,0.380802,0.101139
